City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,derbent,42.0678,48.2899,298.09,63,0,3.38,RU,1722454984
1,"poblacion, san felipe",14.5665,121.0308,301.13,91,40,0.51,PH,1722454984
2,awjilah,29.1081,21.2869,303.54,40,0,6.83,LY,1722454757
3,kodiak,57.79,-152.4072,290.88,45,0,9.26,US,1722454985
4,puerto natales,-51.7236,-72.4875,275.4,93,75,2.06,CL,1722454985
5,kourou,5.1552,-52.6478,305.18,67,0,3.72,GF,1722455178
6,cadale,2.7603,46.3222,297.84,83,41,6.86,SO,1722455179
7,punta arenas,-53.15,-70.9167,277.21,100,100,8.75,CL,1722455181
8,grytviken,-54.2811,-36.5092,265.37,75,72,7.54,GS,1722455182
9,port elizabeth,-33.918,25.5701,286.1,81,0,5.66,ZA,1722455184
10,ushuaia,-54.8,-68.3,277.96,60,40,5.14,AR,1722455185
11,tiksi,71.6872,128.8694,275.71,78,96,2.5,RU,1722455186
12,edinburgh of the seven seas,-37.0676,-12.3116,284.73,55,21,7.12,SH,1722455188
13,olonkinbyen,70.9221,-8.7187,278.89,97,100,4.1,SJ,1722455189
14,ulsteinvik,62.3432,5.8487,287.65,75,11,3.58,NO,1722455190
15,ghanzi,-21.5667,21.7833,289.29,18,3,1.67,BW,1722455192
16,kill devil hills,36.0307,-75.676,303.7,67,0,5.14,US,1722455193
17,qaqortoq,60.7167,-46.0333,286.64,41,0,4.82,GL,1722455194
18,kingston,17.997,-76.7936,307.13,66,20,10.8,JM,1722455196
19,tympaki,35.0729,24.7685,300.13,52,0,5.81,GR,1722455197
20,port lincoln,-34.7333,135.8667,283.95,56,68,4.49,AU,1722455198
21,pemangkat,1.1667,108.9667,300.27,80,31,1.0,ID,1722455200
22,lhokseumawe,5.1801,97.1507,299.08,87,100,3.26,ID,1722455201
23,asau,46.4333,26.4,291.66,56,0,1.93,RO,1722455202
24,aileu,-8.7281,125.5664,290.2,87,4,2.26,TL,1722455204
25,adamstown,-25.066,-130.1015,295.62,83,51,10.87,PN,1722455205
26,labuan,5.2767,115.2417,299.35,94,20,0.0,MY,1722455206
27,lethem,3.3803,-59.7968,302.03,71,98,1.76,GY,1722455208
28,shahrud,36.4182,54.9763,301.02,39,0,3.96,IR,1722455209
29,choibalsan,48.0667,114.5,290.36,93,100,2.89,MN,1722455210
30,talipparamba,12.05,75.35,296.45,98,100,1.05,IN,1722455212
31,wajir,1.7471,40.0573,300.99,45,70,8.95,KE,1722455213
32,stanley,54.868,-1.6985,291.76,78,20,1.54,GB,1722455214
33,almenara,-16.1836,-40.6944,296.48,72,100,2.06,BR,1722455216
34,laascaanood,8.4774,47.3597,300.06,48,9,11.18,SO,1722455218
35,bilibino,68.0546,166.4372,274.72,62,100,2.46,RU,1722455220
36,walvis bay,-22.9575,14.5053,284.31,85,0,2.74,NA,1722455221
37,ponta delgada,37.7333,-25.6667,298.55,73,40,2.57,PT,1722455115
38,olyokminsk,60.3736,120.4264,283.54,56,100,1.4,RU,1722455224
39,bandarbeyla,9.4942,50.8122,297.85,84,22,14.67,SO,1722455225
40,blackmans bay,-43.0167,147.3167,277.44,93,14,0.45,AU,1722455227
41,anadyr,64.75,177.4833,285.43,87,75,2.0,RU,1722455228
42,temiskaming shores,47.4938,-79.7153,300.04,35,0,4.46,CA,1722455130
43,margaret river,-33.95,115.0667,283.88,66,93,10.33,AU,1722455231
44,enewetak,11.3474,162.3373,301.68,76,25,5.88,MH,1722455232
45,lihue,21.9789,-159.3672,299.92,71,0,6.17,US,1722455233
46,badger,64.8,-147.5333,286.1,77,75,5.14,US,1722455235
47,tura,25.5198,90.2201,297.72,97,63,2.42,IN,1722455236
48,ilulissat,69.2167,-51.1,279.16,87,40,3.09,GL,1722455237
49,serhiyivka,46.0272,30.3768,296.33,54,0,4.12,UA,1722455238
50,al jawf,29.5,38.75,305.27,16,5,4.27,SA,1722455240
51,port-aux-francais,-49.35,70.2167,278.03,99,100,11.84,TF,1722455241
52,kapuskasing,49.4169,-82.4331,303.2,54,40,4.63,CA,1722455243
53,la ronge,55.1001,-105.2842,301.27,34,75,7.2,CA,1722455244
54,modesto,37.6391,-120.9969,304.34,37,0,3.09,US,1722454978
55,el porvenir,13.7617,-87.3458,303.78,41,88,1.83,HN,1722455246
56,nouadhibou,20.931,-17.0347,296.14,78,4,9.26,MR,1722455248
57,wailua homesteads,22.0669,-159.378,299.59,75,0,6.17,US,1722455249
58,rio grande,-32.035,-52.0986,295.21,84,13,4.9,BR,1722455243
59,touros,-5.1989,-35.4608,298.65,76,7,7.32,BR,1722455252
60,horta,38.5333,-28.6333,298.95,74,20,4.63,PT,1722455253
61,lebu,-37.6167,-73.65,284.39,92,100,13.63,CL,1722455254
62,mahajanga,-15.7167,46.3167,296.16,83,0,2.06,MG,1722455256
63,buritis,-15.6178,-46.4233,303.2,26,13,3.83,BR,1722455257
64,bethel,41.3712,-73.414,302.6,71,97,2.85,US,1722455258
65,homer,59.6425,-151.5483,290.24,72,0,3.6,US,1722455260
66,bathsheba,13.2167,-59.5167,303.49,74,20,3.09,BB,1722455261
67,murudeshwara,14.0943,74.4845,300.37,62,100,4.16,IN,1722455262
68,morondava,-20.2833,44.2833,293.89,57,4,4.41,MG,1722455264
69,pitimbu,-7.4706,-34.8086,301.48,80,6,7.68,BR,1722455265
70,waitangi,-43.9535,-176.5597,279.72,95,100,7.22,NZ,1722455266
71,villa gesell,-37.2639,-56.973,285.22,80,100,6.05,AR,1722455268
72,mount gambier,-37.8333,140.7667,277.1,91,19,2.52,AU,1722455064
73,klyuchi,52.2667,79.1667,295.65,54,2,2.65,RU,1722455270
74,uvira,-3.4067,29.1458,298.16,51,82,0.55,CD,1722455272
75,dhamar,14.5427,44.4051,290.3,70,100,2.28,YE,1722455273
76,tsiombe,-25.3,45.4833,289.43,75,0,0.68,MG,1722455063
77,porto torres,40.835,8.3972,301.25,52,0,1.16,IT,1722455275
78,iqaluit,63.7506,-68.5145,283.0,66,20,4.63,CA,1722455277
79,bredasdorp,-34.5322,20.0403,280.18,84,0,1.79,ZA,1722455278
80,hadibu,12.65,54.0333,298.68,81,32,8.75,YE,1722455279
81,puerto aysen,-45.4,-72.7,279.31,100,100,1.12,CL,1722455055
82,agadez,19.75,10.25,307.87,15,37,2.12,NE,1722455282
83,yellowknife,62.456,-114.3525,293.38,58,75,5.66,CA,1722455283
84,vilhena,-12.7406,-60.1458,306.27,27,40,3.6,BR,1722455285
85,west end,26.6833,-78.9667,305.14,69,100,3.58,BS,1722455286
86,fallon,39.4735,-118.7774,305.08,28,100,1.54,US,1722455287
87,nova sintra,14.8667,-24.7167,298.29,77,49,6.4,CV,1722455289
88,lerwick,60.1545,-1.1494,285.15,81,100,3.16,GB,1722455290
89,marquette,46.5333,-87.6335,302.61,60,5,2.24,US,1722455287
90,port alfred,-33.5906,26.891,285.3,73,0,6.72,ZA,1722455293
91,chinde,26.8212,87.7095,299.17,86,100,2.01,NP,1722455294
92,arraial do cabo,-22.9661,-42.0278,296.07,73,40,5.14,BR,1722455209
93,albany,42.6001,-73.9662,300.19,75,81,0.45,US,1722455108
94,freetown,8.484,-13.2299,297.46,95,100,3.92,SL,1722455298
95,thompson,55.7435,-97.8558,299.24,38,20,3.09,CA,1722455299
96,saipan,15.1355,145.701,301.54,83,0,2.06,MP,1722455037
97,malakal,9.5334,31.6605,294.61,96,100,2.11,SS,1722455302
98,sandnessjoen,66.0217,12.6316,288.44,77,75,5.14,NO,1722455053
99,itaguacu,-19.8019,-40.8556,297.11,61,46,3.43,BR,1722455304
100,banjar,-8.19,114.9675,297.26,91,40,1.29,ID,1722455306
101,mehdia daira de meghila,35.4306,1.7571,308.62,17,0,3.75,DZ,1722455307
102,yanam,16.7333,82.2167,300.09,88,100,1.45,IN,1722455308
103,port mathurin,-19.6833,63.4167,296.07,77,49,7.0,MU,1722455310
104,georgetown,5.4112,100.3354,302.11,83,20,1.54,MY,1722455311
105,tateyama,34.9833,139.8667,298.76,79,100,3.03,JP,1722455312
106,tolanaro,-25.0319,46.9987,290.19,94,20,2.06,MG,1722455314
107,san patricio,28.017,-97.5169,307.13,46,0,8.42,US,1722455315
108,zheshart,62.0731,49.5733,288.6,92,99,1.47,RU,1722455316
109,santa maria,-29.6842,-53.8069,295.76,60,0,4.63,BR,1722455207
110,imbituba,-28.24,-48.6703,291.96,82,47,5.69,BR,1722455319
111,lorengau,-2.0226,147.2712,300.29,84,22,5.27,PG,1722455320
112,belyy yar,53.6039,91.3903,289.09,100,13,1.0,RU,1722455322
113,college,64.8569,-147.8028,286.14,79,75,5.14,US,1722455323
114,bure,10.7,37.0667,287.42,97,100,1.53,ET,1722455324
